name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q3311985,Guernsey
,,,,,,Q766,Jamaica
,,,,,,Q17,Japan
,,,,,,Q785,Jersey
,,,,,,Q810,Jordan
,,,,,,Q232,Kazakhstan
,,,,,,Q114,Kenya
,,,,,,Q710,Kiribati
,,,,,,Q1246,Kosovo
,,,,,,Q817,Kuwait
,,,,,,Q813,Kyrgyzstan
,,,,,,Q819,Laos
,,,,,,Q211,Latvia
,,,,,,Q822,Lebanon
,,,,,,Q1013,Lesotho
,,,,,,Q1014,Liberia
,,,,,,Q1016,Libya
,,,,,,Q347,Liechtenstein
,,,,,,Q37,Lithuania
,,,,,,Q32,Luxembourg
,,,,,,Q14773,Macau
,,,,,,Q1019,Madagascar
,,,,,,Q1020,Malawi
,,,,,,Q833,Malaysia
,,,,,,Q826,Maldives
,,,,,,Q912,Mali
,,,,,,Q233,Malta
,,,,,,Q709,Marshall Islands
,,,,,,Q17054,Martinique
,,,,,,Q1025,Mauritania
,,,,,,Q1027,Mauritius
,,,,,,Q96,Mexico
,,,,,,Q217,Moldova
,,,,,,Q235,Monaco
,,,,,,Q711,Mongolia
,,,,,,Q236,Montenegro
,,,,,,Q13353,Montserrat
,,,,,,Q1028,Morocco
,,,,,,Q1029,Mozambique
,,,,,,Q836,Myanmar
,,,,,,Q1030,Namibia
,,,,,,Q697,Nauru
,,,,,,Q25359,Navassa Island
,,,,,,Q837,Nepal
,,,,,,Q55,Netherlands
,,,,,,Q664,New Zealand
,,,,,,Q811,Nicaragua
,,,,,,Q1032,Niger
,,,,,,Q1033,Nigeria
,,,,,,Q423,North Korea
,,,,,,Q221,North Macedonia
,,,,,,Q23681,Northern Cyprus
,,,,,,Q26,Northern Ireland
,,,,,,Q20,Norway
,,,,,,Q842,Oman
,,,,,,Q843,Pakistan
,,,,,,Q695,Palau
,,,,,,Q804,Panama
,,,,,,Q691,Papua New Guinea
,,,,,,Q733,Paraguay
,,,,,,Q419,Peru
,,,,,,Q928,Philippines
,,,,,,Q36,Poland
,,,,,,Q45,Portugal
,,,,,,Q1183,Puerto Rico
,,,,,,Q846,Qatar
,,,,,,Q971,Republic of the Congo
,,,,,,Q218,Romania
,,,,,,Q159,Russia
,,,,,,Q1037,Rwanda
,,,,,,Q25528,Saba
,,,,,,Q40362,Sahrawi Arab Democratic Republic
,,,,,,Q25362,Saint Barthélemy
,,,,,,Q763,Saint Kitts and Nevis
,,,,,,Q760,Saint Lucia
,,,,,,Q126125,Saint Martin
,,,,,,Q34617,Saint Pierre and Miquelon
,,,,,,Q757,Saint Vincent and the Grenadines
,,,,,,Q683,Samoa
,,,,,,Q238,San Marino
,,,,,,Q851,Saudi Arabia
