full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Vaishnavi Bonda,India,,1823,vaishnavi-bonda,,
Vamsikrishna Yanamandra,India,,1928,vamsikrishna-yanamandra,,
Varshaa Sanjeev Kumar,India,,1819,varsha-sanjeev,,
Varun Madan,India,,1171,varun-madan,,
Vencislav Daskalov,Bulgaria,,1127,vencislav-daskalov,,
Vergil Mavrodiev,Bulgaria,,1144,vergil-mavrodiev,,
Vic Makh,England,,1419,vic-makh,,
Vidya Pillai,India,,2178,vidya-pillai,,
Viktor Gaidov,Bulgaria,,1957,viktor-gaidov,,
Vilius Schulte-Ebbert,Lithuania,,1547,vilius-schulte-ebbert,,
Vincent Muldoon,Ireland,,496,vincent-muldoon,,
Vitaliy Ivaniv,Ukraine,,682,vitaliy-ivaniv,,
Vito Puopolo,Canada,,3023,vito-puopolo,,
Volker Grigo,Germany,,1951,volker-grigo,,
