full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Vaishnavi Bonda,India,,1823,vaishnavi-bonda,,
Vamsikrishna Yanamandra,India,,1928,vamsikrishna-yanamandra,,
Varshaa Sanjeev Kumar,India,,1819,varsha-sanjeev,,
Varun Madan,India,,1171,varun-madan,,
Vasil Todorov,Bulgaria,,1579,vasil-todorov,,
Vasilije Pesic,Serbia,,3919,vasilije-pesic,,
Vencislav Daskalov,Bulgaria,,1127,vencislav-daskalov,,
Vergil Mavrodiev,Bulgaria,,1144,vergil-mavrodiev,,
Veselin Lazarov,Bulgaria,,1582,veselin-lazarov,,
Vic Makh,England,,1419,vic-makh,,
Vidya Viswanathan Pillai,India,,2178,vidya-pillai,,
Vijay Sundaram,United States,,4026,vijay-sundaram,,
Viktor Gaidov,Bulgaria,,1957,viktor-gaidov,,
Viktor Iliev,Bulgaria,,1594,viktor-iliev,,
Viktors Jengovatovs,Latvia,,3920,viktors-jengovatovs,,
Vilius Schulte-Ebbert,Lithuania,,1547,vilius-schulte-ebbert,,
Vincent Muldoon,Ireland,,496,vincent-muldoon,,
Vitaliy Ivaniv,Ukraine,,682,vitaliy-ivaniv,,
Vito Puopolo,Canada,,3023,vito-puopolo,,
Vladut Ciuche,Romania,,3921,vladut-ciuche,,
Volker Grigo,Germany,,1951,volker-grigo,,
Vyacheslav Nikiforov,Germany,,1568,vyacheslav-nikiforov,,
