full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Dillip Kumar,India,,2065,s-dilip-kumar,,
Saku Veikkanen,Finland,,1847,saku-veikkanen,,
Salim Ali,United Arab Emirates,,413,salim-ali,,
Sam Betts,England,,1966,sam-betts,,
Sam Harvey,England,,140,sam-harvey,,
Samir Önder,Germany,,342,samir-onder,,
Sanjin Kusan,Croatia,,343,sanjin-kusan,,
Sascha Breuer,Germany,,345,sascha-breuer,,
Scott Lyons,England,,1732,scott-lyons,,
Sean Bowers,England,,2048,sean-bowers,,
Sean Bullock,England,,1728,sean-bullock,,
Sean Galligan,England,,1993,sean-galligan,,
Sebastian Musat,Romania,,1882,sebastian-musat,,
Sebastian Stein,Germany,,1924,sebastian-stein,,
Selina Dean,England,,3228,selina-dean,,
Serge Dupraz,Czech Republic,,467,serge-dupraz,,
Serge Lievens,Netherlands,,346,serge-lievens,,
Shahrukh Nasir,Pakistan,,114,shahrukh-nasir,,
Shane Bates,Ireland,,1855,shane-bates,,
Shannon Dixon,Australia,,1801,shannon-dixon,,
Shaun Parkes,England,,117,shaun-parkes,,
Shaun Sultana,Malta,,1810,shaun-sultana,,
Shaun Wilkes,England,,211,shaun-wilkes,,
Shay Arama,Israel,,2028,shay-arama,,
Shen Haoran,China,,1973,shen-haoran,,
Shi Shuangyang,China,,512,shi-shuamgyang,,
Shokat Ali,Pakistan,,83,shokat-ali,,
Shrikrishna Suryanarayanan,India,,3141,shrikrishna-suryanarayanan,,
Shrikrishna Suryanarayanan,India,,1849,shrikrishna-suryanarayanan,,
Simon Ceo,Czech Republic,,455,simon-ceo,,
Siripaporn Nuanthakhamjan,Thailand,,1828,siripaporn-nuanthakhamjan,,
So Man Yan,Hong Kong,,2125,so-man-yan,,
Soner Sari,Turkey,,344,soner-sari,,
Sonnie O'Sullivan,England,,2062,sonnie-osullivan,,
Stefan Dohr,Germany,,1916,stefan-dohr,,
Stefan Gerst,Germany,,348,stefan-gerst,,
Stefan Joachim,Germany,,431,stefan-joachim,,
Stefan Kasper,Germany,,471,stefan-kasper,,
Stefan Posea,Romania,,1870,stefan-posea,,
Stefan Schenk,Germany,,349,stefan-schenk,,
Stephane Ochoiski,France,,433,stephane-ochoiski,,
Stephen Bateman,Ireland,,1854,stephen-bateman,,
Stephen Craigie,England,,112,stephen-craigie,,
Stephen Croft,England,,2040,stephen-croft,,
Stephen Webber,England,,1987,stephen-webber,,
Steve Judd,England,,213,steve-judd,,
Stevo Vucicevic,Croatia,,350,stevo-vucicevic,,
Sumit Talwar,India,,1720,sumit-talwar,,
Sunil Durga,New Zealand,,3679,sunil-durga,,
Sunita Khandelwal,India,,2175,sunita-khandelwal,,
Suniti Damani,India,,2176,suniti-damani,,
Supoj Saenla,Thailand,,495,supoj-saenla,,
Suriya Suwannasingh,Thailand,,214,suriya-suwannasingh,,
Syimyk Uraiimov,Kyrgyzstan,,3447,syimyk-uraiimov,,
