full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Paddy Murphy,Ireland,,752,paddy-murphy,,
Pascal Durnez,Belgium,,377,pascal-durnez,,
Pascal Fischer,Germany,,1947,pascal-fischer,,
Pascal Raes,Belgium,,388,pascal-raes,,
Pascal Richard,England,,451,pascal-richard,,
Patrick Fuchs,Germany,,324,patrick-fuchs,,
Patrick O'Rourke,Ireland,,748,patrick-orourke,,
Patrick Rossmann,Austria,,644,patrick-rosmann,,
Patrik Sedlak,Slovakia,,2034,patrik-sedlak,,
Paul Cavney,England,,484,paul-cavney,,
Paul Deaville,England,,2749,paul-deaville,,
Paul Liebstreich,Germany,,1904,paul-liebstreich,,
Paul McPhillips,Scotland,,716,paul-mcphillips,,
Paul Metcalf,England,,72,paul-metcalf,,
Paul Mifsud,Malta,,3730,paul-mifsud,,
Paul Norris,England,,2046,paul-norris,,
Paul Stelmaszuk,Poland,,2025,paul-stelmaszuk,,
Paul van der Straten,New Zealand,,3676,paul-van-der-straten,,
Paul Whapshott,New Zealand,,3675,paul-whapshott,,
Paula Judge,Ireland,,2137,paula-judge,,
Pavel Leyk,Germany,,472,pavel-leyk,,
Pawel Kasprzycki,Poland,,685,pawel-kasprzycki,,
Pawel Rogoza,Poland,,689,pawey-rogoza,,
Pedro Chacon,Germany,,1919,pedro-chacon,,
Peter Brehm,Germany,,1926,peter-brehm,,
Peter Chamberlain,New Zealand,,3677,peter-chamberlain,,
Peter Donegan,England,,1999,peter-donegan,,
Phaitoon Phonbun,Thailand,,1932,phaitoon-phonbun,,
Phan Quoc Binh,Poland,,702,phan-quoc-binh,,
Phil Barnes,Germany,,325,phil-barnes,,
Phil Parkin,England,,2039,phil-parkin,,
Philip Arnold,Ireland,,428,philip-arnold,,
Philip Browne,Ireland,,750,philip-browne,,
Phil Seaton,England,,487,philip-seaton,,
Pierre Dethier,Belgium,,401,pierre-dethier,,
Piotr Murat,Poland,,679,piotr-murat,,
Piotr Olejnik,Poland,,2027,piotr-olejnik,,
Piotr Wardowski,Poland,,677,piotr-wardowski,,
Chu Pui Ying Mini,Hong Kong,,2170,pui-ying-chu,,
