full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Oktay Yildiz,Germany,,1921,oktay-yildiz,,
Ole Steiner,Germany,,320,ole-steiner,,
Oleksandr Zakharov,Ukraine,,1548,oleksandr-zakharov,,
Oliver Kremp,Germany,,321,oliver-kremp,,
Oliver Metzger,Germany,,322,oliver-metzger,,
Olivier Coucke,Belgium,,396,olivier-coucke,,
Olivier Vandenboheede,Belgium,,100,olivier-vandenboheede,,
Oliwia Lachowicz,Poland,,1468,oliwia-lachowicz,,
Olli-Pekka Virho,Finland,,1666,olli-pekka-virho,,
Ollie Douglas,England,,1677,ollie-douglas,,
Oma Miesta,Canada,,3829,oma-miesta,,
Omar Alhaji,Kuwait,,3787,omar-alhaji,,
Omar Alhaji,Kuwait,,3851,omar-alhaji,,
Omar Alkojah,Syria,,909,omar-alkojah,,
Omer Butt,Pakistan,,729,omer-butt,,
Ong Jia Jun Jaden,Singapore,,1721,ong-jia-jun,,
�zyurt Aksoy,Turkey,,636,ozyurt-aksoy,,
