full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Lasse Münstermann,Germany,,196,lasse-munstermann,,
Laura Evans,Wales,,2118,laura-evans,,
Laurens De Staelen,Belgium,,378,laurens-de-staelen,,
Laurin Winters,Netherlands,,294,laurin-winters,,
Lawrence Millington,England,,3683,lawrence-millington,,
Lee Farebrother,England,,71,lee-farebrother,,
Lee Mein,Scotland,,1885,lee-mein,,
Lee Prickman,Gibraltar,,1992,lee-prickman,,
Lee Tsz Ho,Hong Kong,,1701,lee-tszho,,
Leigh Robinson,England,,2002,leigh-robinson,,
Lennard Cripps,England,,3691,lennard-cripps,,
Lewis John Calcutt,England,,450,lewis-john-calcutt,,
Lewis Mayes,England,,199,lewis-mayes,,
Li Jiahao,China,,1703,li-jiahao,,
Liam Taylor,England,,2018,liam-taylor,,
Liam Young,New Zealand,,3665,liam-young,,
Lieven Vanthournout,Belgium,,398,lieven-vanthournout,,
Liu Genxiang,China,,1702,liu-genxiang,,
Long Yong,China,,1709,long-yong,,
Druta Lorin Ionut,Romania,,297,lorin-ionut-druta,,
Loris Lehmann,Germany,,1907,loris-lehmann,,
Lothar Kempgens,Germany,,298,lothar-kempgens,,
Louis Chand,New Zealand,,1862,louis-chand,,
Luc Heirewegh,Belgium,,387,luc-heirewegh,,
Lukas Krenek,Czech Republic,,460,lukas-krenek,,
