full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Hasimu Tuerxun,China,,1375,ha-simu,,
Habib Shalchian,Germany,,444,habib-shalchian,,
Han Bin,China,,1952,han-bin,,
Han Fei,China,,1244,han-fei,,
Hannah Ward,Wales,,1304,hannah-jones,,
Hannah Wood,New Zealand,,3660,hannah-wood,,
Hans Coppens,Belgium,,1080,hans-coppens,,
Hans-Jürgen Bins,Germany,,276,hans-jurgen-bins,,
Hanzla Zahid,England,,887,hanzla-zahid,,
Hao Lac Hanh,Germany,,277,hao-lac-hanh,,
Harald Kloss,Germany,,641,harald-kloss,,
Harri Sillanpää,Finland,,1668,harri-sillanpaa,,
Harry Flower,England,,3881,harry-flower,,
Harry Wyatt,England,,3976,harry-wyatt,,
Harun Sehic,Bosnia and Herzegovina,,4059,harun-sehic,,
Harvey Hu,New Zealand,,3661,harvey-hu,,
Hasan Khan,Pakistan,,721,hasan-khan,,
Hasanain Khalid Alsultani,United States,,3842,hasanain-alsultani,,
Hassan Abdalla,Egypt,,1046,hassan-abdalla,,
Hassan Kerde,Australia,,1930,hassan-kerde,,
Hassan Miah,England,,995,hassan-miah,,
Hassan Vaizie,England,,1361,hassan-vaizie,,
Hayden Goode,Australia,,4566,hayden-goode,,
He Kang,Australia,,3954,he-kang,,
He Wenchong,China,,1712,he-wenchong,,
Heath Williams,Australia,,1807,heath-williams,,
Heather Clare,England,,1739,heather-clare,,
Heiko Mutz,Germany,,1927,heiko-mutz,,
Helder Julio,Portugal,,1641,helder-julio,,
Helmut Miss,Germany,,278,helmut-miss,,
Hendrik Glax,Germany,,625,hendrik-glax,,
Hendrik Henschke,Germany,,279,hendrik-henschke,,
Henry Roper,England,,994,henry-roper,,
Hesham Abd El Salam,Egypt,,3717,hesham-abd-el-salam,,
Hesham Shawky,Egypt,,3803,hesham-shawky,,
Hesham Alsaqer,Bahrain,,4221,hisham-al-saqer,,
Hoe Shu Wah,Singapore,,2177,hoe-shu-wah,,
Horia Duta,Romania,,1871,horia-duta,,
Hristo Sirakov,Bulgaria,,1220,hristo-sirakov,,
Hu Yufan,China,,1602,hu-yufan,,
Huang Haoyang,China,,1104,huang-hooyong,,
Huang Lijun,China,,4486,huang-lijun,,
Huang Nian,China,,1600,huang-nian,,
Huang Zhong,China,,1984,huang-zhong,,
Huang Zishun,China,,1980,huang-zishun,,
Hugh Abernethy,Scotland,,122,hugh-abernethy,,
Hugo van Houten,Netherlands,,4041,hugo-van-houten,,
Hui-wah Lam,Netherlands,,293,hui-wah-lam,,
Huib Kuilboer,Netherlands,,1274,huib-kuilboer,,
Hung Chung Ming,Taiwan,,1575,hung-chuang-ming,,
Hussain al Qallaf,Kuwait,,4522,hussain-al-qallaf,,
Hussain Fuad,Bahrain,,1011,hussain-fuad,,
Hussain Rahimi,Canada,,3822,hussain-rahimi,,
Hussam Al-Saffar,Denmark,,2014,hussam-al-saffar,,
Husain Mahmood,Bahrain,,923,hussein-mahmood,,
Hwang Chulho,South Korea,,955,hwang-chui-ho,,
Choi Hyemin,South Korea,,1827,hyemin-choi,,
