full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Naresh Samarawickrama,Sri Lanka,,317,naresh-samarawickram,,
Neeraj Kumar,India,,1716,neeraj-kumar,,
Neil Guidon,England,,2013,neil-guidon,,
Nicholas Roberts,England,,1967,nicholas-roberts,,
Nick Jennings,England,,59,nick-jennings,,
Nic Moses,New Zealand,,3674,nick-moses,,
Nick Pearce,England,,207,nick-pearce,,
Nicky Lazarus,England,,2000,nicky-lazarus,,
Nicole Breitenstein,Germany,,318,nicole-breitenstein,,
Nicolly Christo,Brazil,,2373,nicolly-christo,,
Nikoleta Nikolova,Bulgaria,,1818,nikoleta-nikolova,,
Noppadon Noppachorn,Thailand,,1931,noppadon-noppachorn,,
Norbert Hofheinz,Germany,,319,norbert-hofheinz,,
