full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Ma Daojun,China,,1983,ma-daojun,,
Mahmoud El Hareedy,Egypt,,3071,mahmoud-el-hareedy,,
Khan Majid,England,,2005,majid-khan,,
Malcolm Pollock,New Zealand,,3666,malcolom-pollock,,
Malgorzata Sikorska,Poland,,2374,malgorzata-sikorska,,
Maor Shalom,Israel,,1858,maor-shalom,,
Mara Tudusciuc,Romania,,1825,mara-tudusciuc,,
Marc Harman,England,,95,marc-harman,,
Mario Amza,Romania,,1866,mario-amza,,
Mario Basile,England,,2059,mario-basile,,
Mario Brincat,Malta,,1815,mario-brincat,,
Mario Geudens,Belgium,,231,mario-geudens,,
Mario Hildred,New Zealand,,1864,mario-hildred,,
Mark Canovan,New Zealand,,3667,mark-canovan,,
Mark Craven,New Zealand,,3543,mark-craven,,
Mark Currie,New Zealand,,3669,mark-currie,,
Mark Miller,England,,137,mark-miller,,
Mark Smith,England,,203,mark-smith,,
Martin Pitcher,England,,2164,martin-pitcher,,
Marvin Losi,Switzerland,,1917,marvin-losi,,
Maryann McConnell,,,3175,maryann-mcconnell,,
Matei Rosca,Romania,,1872,matei-rosca,,
Matheus Fatuch Pontarolli,Brazil,,1840,matheus-fatuch-pontarolli,,
Matt Howells,New Zealand,,3670,matt-howells,,
Matt Lancaster,England,,2012,matt-lancaster,,
Matthew Pudney,England,,2021,matthew-pudney,,
Maxim Ene,Romania,,1876,maxim-ene,,
Maxim Maximov,Russia,,1805,maxim-maximov,,
Michael Davies,New Zealand,,3671,michael-davies-ii,,
Michael Hayes,New Zealand,,3672,michael-hayes,,
Michael Rhodes,England,,2009,michael-rhodes,,
Michael Schnabel,Germany,,1910,michael-schnabel,,
Michal Zielinski,Poland,,121,michay-zieliyski,,
Mick Dagostino,England,,2023,mick-dagostino,,
Miguel Costa Filho,Brazil,,3718,miguel-costa-filho,,
Mihai Diaconu,Romania,,1878,mihai-diaconu,,
Mikey Stewart,New Zealand,,1863,mikey-stewart,,
Mikhail Terekhov,Russia,,1884,mikhail-terekhov,,
Miltos Song,New Zealand,,3538,miltos-song,,
MingHsuan Lee,New Zealand,,3673,minghsuan-lee,,
Mitchell Grinstead,England,,2163,mitchell-grinstead,,
Mohamed Atta,Egypt,,1846,mohamed-atta,,
Mohammed El Hamy,Egypt,,3725,mohammed-el-hamy,,
Mohammed Rangzib,England,,1749,mohammed-rangzib,,
Mohanna Al Obaidly,Qatar,,172,mohanna-al-obaidly,,
Mourad Naitali,Morocco,,1986,mourad-naitali,,
