full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Anthony Fieldsend,England,,2200,,,
Michael Dubicki,England,,2201,,,
Craig Brown,England,,2202,,,
snooker.org,,,2203,,,
Jeremiah Connors,Wales,,2205,,,
Stewart Hesketh,England,,2207,,,
Nick Manning,England,,2209,,,
Yu Han,China,,2210,,,
Adam Morrey,England,,2211,,,
Dhairya Bhandari,India,,2212,,,
snooker.org,,,2214,,,
snooker.org,,,2215,,,
Norway (2017),Norway,,2216,,,
China A (2017),China,,2217,,,
England (2017),England,,2218,,,
Australia (2017),Australia,,2219,,,
Hong Kong (2017),Hong Kong,,2220,,,
Scotland (2017),Scotland,,2221,,,
Ireland (2017),Ireland,,2222,,,
Northern Ireland (2017),Northern Ireland,,2223,,,
Wales (2017),Wales,,2224,,,
China B (2017),China,,2225,,,
Thailand (2017),Thailand,,2226,,,
Belgium (2017),Belgium,,2227,,,
India (2017),India,,2228,,,
Brazil (2017),Brazil,,2229,,,
Duncan Bezzina,Malta,,2230,,,
Malta (2017),Malta,,2231,,,
Malta (2017),Malta,,2232,,,
