full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Fabian Grube,Germany,,265,fabian-grube,,
Fabian Meulner,Germany,,266,fabian-meulner,,
Fabian Pieyns,Belgium,,4109,fabian-pieyns,,
Fabian Tost,Germany,,1327,fabian-tost,,
Fabio Anderson Luersen,Brazil,,653,fabio-luersen,,
Faisal Khan,India,,1366,faizal-khan,,
Falk Hollenwäger,Germany,,267,falk-hollenwaeger,,
Fang Fan,China,,1242,fang-fan,,
Fang Yuanjun,Malaysia,,970,fang-yuanjun,,
Farhan Mirza,Sweden,,1587,farhan-mirza,,
Faris Vuckic,Bosnia and Herzegovina,,4050,faris-vuckic,,
Fatosh Dervishaj,Albania,,3874,fatosh-dervishaj,,
Fawad Sediqi,United States,,4012,fawad-sediqi,,
Felix Buchfeld,Germany,,1395,felix-buchfeld,,
Felix Pleschek,Austria,,635,felix-pleschek,,
Felix Vidler,Poland,,1678,felix-vidler,,
Feng Yijun,China,,1120,feng-yijun,,
Feng Yu,China,,1410,feng-yu,,
Feng Zeyuan,China,,1259,feng-zeyuan,,
Fernand Loyer,Canada,,3820,fernand-loyer,,
Feylin Janssen,Netherlands,,1277,feylin-janssen,,
Fidan Krasniqi,Albania,,3875,fidan-krasniqi,,
Filip-Andrei Balanescu,Romania,,3876,filip-balanescu,,
Filip Bermanec,Croatia,,4062,filip-bermanec,,
Filip Blazicko,Croatia,,4125,filip-blazicko,,
Filip Vidak,Serbia,,3974,filip-vidak,,
Filipe Cardoso,Portugal,,1225,filipe-cardoso,,
Florent Kuci,Albania,,3877,florent-kuci,,
Florian Moederscheim,Netherlands,,268,florian-moederscheim,,
Florian Werres,Germany,,1328,florian-werres,,
Fozan Masood,Netherlands,,1288,fozan-masood,,
Francis Becerra,Gibraltar,,1994,francis-becerra,,
Francisco Gomez,Spain,,4100,francisco-gomez,,
Frank Ammirante,Canada,,3821,frank-ammirante,,
Frank Driesen,Belgium,,1446,frank-driesen,,
Frank Sarsfield,Ireland,,776,frank-sarsfield,,
Frank Schröder,Germany,,648,frank-schroder,,
Franky Debaene,Belgium,,874,franky-debaene,,
Franky McGovern,England,,1039,franky-mcgovern,,
Frans Veling,Netherlands,,1270,frans-veling,,
Fred Letecheur,Belgium,,1085,fred-letecheur,,
Freddie Blunden,England,,1751,freddie-blunden,,
